time,hr
2026-06-06T11:43:32.000Z,77
2026-06-06T11:43:33.000Z,76
2026-06-06T11:43:34.000Z,77
2026-06-06T11:43:35.000Z,76
2026-06-06T11:43:39.000Z,77
2026-06-06T11:43:41.000Z,76
2026-06-06T11:43:44.000Z,77
2026-06-06T11:43:46.000Z,78
2026-06-06T11:43:47.000Z,77
2026-06-06T11:43:49.000Z,76
2026-06-06T11:43:50.000Z,79
2026-06-06T11:43:51.000Z,80
2026-06-06T11:43:52.000Z,81
2026-06-06T11:43:53.000Z,82
2026-06-06T11:43:55.000Z,83
2026-06-06T11:43:59.000Z,86
2026-06-06T11:44:01.000Z,93
2026-06-06T11:44:02.000Z,96
2026-06-06T11:44:03.000Z,98
2026-06-06T11:44:04.000Z,101
2026-06-06T11:44:05.000Z,102
2026-06-06T11:44:06.000Z,103
2026-06-06T11:44:08.000Z,104
2026-06-06T11:44:11.000Z,106
2026-06-06T11:44:12.000Z,107
2026-06-06T11:44:13.000Z,109
2026-06-06T11:44:14.000Z,111
2026-06-06T11:44:15.000Z,112
2026-06-06T11:44:16.000Z,113
2026-06-06T11:44:17.000Z,112
2026-06-06T11:44:18.000Z,111
2026-06-06T11:44:19.000Z,112
2026-06-06T11:44:20.000Z,112
