time,hr
2026-06-06T11:32:48.000Z,102
2026-06-06T11:32:49.000Z,103
2026-06-06T11:32:51.000Z,104
2026-06-06T11:32:52.000Z,103
2026-06-06T11:32:54.000Z,102
2026-06-06T11:32:55.000Z,103
2026-06-06T11:32:57.000Z,102
2026-06-06T11:32:58.000Z,101
2026-06-06T11:33:02.000Z,102
2026-06-06T11:33:04.000Z,100
2026-06-06T11:33:05.000Z,99
2026-06-06T11:33:06.000Z,95
2026-06-06T11:33:07.000Z,92
2026-06-06T11:33:08.000Z,92
2026-06-06T11:33:11.000Z,93
2026-06-06T11:33:13.000Z,94
2026-06-06T11:33:15.000Z,95
2026-06-06T11:33:18.000Z,96
2026-06-06T11:33:19.000Z,95
2026-06-06T11:33:25.000Z,97
