time,hr
2026-06-06T11:10:11.000Z,86
2026-06-06T11:10:12.000Z,85
2026-06-06T11:10:13.000Z,84
2026-06-06T11:10:14.000Z,83
2026-06-06T11:10:15.000Z,82
2026-06-06T11:10:16.000Z,84
2026-06-06T11:10:17.000Z,89
2026-06-06T11:10:18.000Z,96
2026-06-06T11:10:19.000Z,98
2026-06-06T11:10:20.000Z,100
2026-06-06T11:10:21.000Z,98
2026-06-06T11:10:22.000Z,92
2026-06-06T11:10:23.000Z,87
2026-06-06T11:10:24.000Z,83
2026-06-06T11:10:25.000Z,79
2026-06-06T11:10:26.000Z,79
2026-06-06T11:10:28.000Z,80
2026-06-06T11:10:29.000Z,81
2026-06-06T11:10:37.000Z,82
2026-06-06T11:10:39.000Z,83
2026-06-06T11:10:40.000Z,82
2026-06-06T11:10:41.000Z,83
2026-06-06T11:10:43.000Z,82
2026-06-06T11:10:44.000Z,81
2026-06-06T11:10:48.000Z,82
2026-06-06T11:10:49.000Z,83
2026-06-06T11:10:50.000Z,84
2026-06-06T11:10:51.000Z,86
2026-06-06T11:10:52.000Z,86
