time,hr
2026-06-06T10:59:57.000Z,80
2026-06-06T10:59:58.000Z,79
2026-06-06T11:00:00.000Z,80
2026-06-06T11:00:01.000Z,81
2026-06-06T11:00:02.000Z,82
2026-06-06T11:00:05.000Z,81
2026-06-06T11:00:08.000Z,80
2026-06-06T11:00:15.000Z,78
2026-06-06T11:00:16.000Z,76
2026-06-06T11:00:19.000Z,77
2026-06-06T11:00:20.000Z,78
2026-06-06T11:00:21.000Z,79
2026-06-06T11:00:22.000Z,80
2026-06-06T11:00:23.000Z,81
2026-06-06T11:00:24.000Z,82
2026-06-06T11:00:25.000Z,83
2026-06-06T11:00:27.000Z,84
2026-06-06T11:00:28.000Z,86
2026-06-06T11:00:29.000Z,88
2026-06-06T11:00:30.000Z,92
2026-06-06T11:00:31.000Z,98
2026-06-06T11:00:32.000Z,100
2026-06-06T11:00:33.000Z,101
2026-06-06T11:00:36.000Z,102
2026-06-06T11:00:37.000Z,101
2026-06-06T11:00:38.000Z,99
2026-06-06T11:00:39.000Z,99
