time,hr
2026-06-06T12:23:22.000Z,99
2026-06-06T12:23:23.000Z,100
2026-06-06T12:23:24.000Z,101
2026-06-06T12:23:27.000Z,102
2026-06-06T12:23:28.000Z,103
2026-06-06T12:23:32.000Z,104
2026-06-06T12:23:34.000Z,105
2026-06-06T12:23:35.000Z,106
2026-06-06T12:23:36.000Z,107
2026-06-06T12:23:38.000Z,110
2026-06-06T12:23:40.000Z,111
2026-06-06T12:23:42.000Z,114
2026-06-06T12:23:43.000Z,118
2026-06-06T12:23:44.000Z,119
2026-06-06T12:23:45.000Z,120
2026-06-06T12:23:48.000Z,121
2026-06-06T12:23:50.000Z,122
2026-06-06T12:23:51.000Z,123
2026-06-06T12:23:52.000Z,124
2026-06-06T12:23:53.000Z,125
2026-06-06T12:23:57.000Z,126
2026-06-06T12:23:59.000Z,127
2026-06-06T12:24:00.000Z,126
2026-06-06T12:24:01.000Z,126
