time,hr
2026-06-06T12:20:37.000Z,98
2026-06-06T12:20:38.000Z,99
2026-06-06T12:20:42.000Z,98
2026-06-06T12:20:45.000Z,99
2026-06-06T12:20:47.000Z,100
2026-06-06T12:20:51.000Z,101
2026-06-06T12:20:54.000Z,105
2026-06-06T12:20:55.000Z,106
2026-06-06T12:20:56.000Z,109
2026-06-06T12:20:57.000Z,110
2026-06-06T12:20:58.000Z,113
2026-06-06T12:21:04.000Z,114
2026-06-06T12:21:05.000Z,115
2026-06-06T12:21:06.000Z,117
2026-06-06T12:21:07.000Z,118
2026-06-06T12:21:08.000Z,119
2026-06-06T12:21:10.000Z,120
2026-06-06T12:21:12.000Z,121
2026-06-06T12:21:16.000Z,122
2026-06-06T12:21:18.000Z,123
2026-06-06T12:21:19.000Z,122
