time,hr
2026-06-06T11:53:59.000Z,72
2026-06-06T11:54:00.000Z,72
2026-06-06T11:54:02.000Z,73
2026-06-06T11:54:03.000Z,72
2026-06-06T11:54:04.000Z,71
2026-06-06T11:54:08.000Z,70
2026-06-06T11:54:10.000Z,71
2026-06-06T11:54:11.000Z,72
2026-06-06T11:54:12.000Z,73
2026-06-06T11:54:14.000Z,75
2026-06-06T11:54:15.000Z,76
2026-06-06T11:54:16.000Z,77
2026-06-06T11:54:19.000Z,74
2026-06-06T11:54:20.000Z,59
2026-06-06T11:54:21.000Z,48
2026-06-06T11:54:22.000Z,46
2026-06-06T11:54:23.000Z,42
2026-06-06T11:54:24.000Z,43
2026-06-06T11:54:25.000Z,42
2026-06-06T11:54:26.000Z,43
2026-06-06T11:54:28.000Z,45
2026-06-06T11:54:30.000Z,49
2026-06-06T11:54:31.000Z,53
2026-06-06T11:54:32.000Z,55
2026-06-06T11:54:33.000Z,56
2026-06-06T11:54:34.000Z,58
2026-06-06T11:54:35.000Z,61
2026-06-06T11:54:36.000Z,63
