time,hr
2026-06-06T11:55:31.000Z,72
2026-06-06T11:55:32.000Z,72
2026-06-06T11:55:34.000Z,73
2026-06-06T11:55:35.000Z,74
2026-06-06T11:55:42.000Z,73
2026-06-06T11:55:44.000Z,72
2026-06-06T11:55:45.000Z,71
2026-06-06T11:55:46.000Z,70
2026-06-06T11:55:47.000Z,69
2026-06-06T11:55:49.000Z,68
2026-06-06T11:55:52.000Z,69
2026-06-06T11:55:54.000Z,70
2026-06-06T11:55:55.000Z,71
2026-06-06T11:55:57.000Z,72
2026-06-06T11:55:58.000Z,73
2026-06-06T11:55:59.000Z,74
2026-06-06T11:56:00.000Z,75
2026-06-06T11:56:02.000Z,78
2026-06-06T11:56:03.000Z,83
2026-06-06T11:56:04.000Z,88
2026-06-06T11:56:05.000Z,88
2026-06-06T11:56:08.000Z,88
