time,hr
2026-06-06T11:27:08.000Z,81
2026-06-06T11:27:09.000Z,80
2026-06-06T11:27:11.000Z,81
2026-06-06T11:27:15.000Z,79
2026-06-06T11:27:16.000Z,73
2026-06-06T11:27:17.000Z,71
2026-06-06T11:27:18.000Z,72
2026-06-06T11:27:21.000Z,71
2026-06-06T11:27:22.000Z,73
2026-06-06T11:27:23.000Z,74
2026-06-06T11:27:25.000Z,75
2026-06-06T11:27:28.000Z,74
2026-06-06T11:27:29.000Z,71
2026-06-06T11:27:30.000Z,74
2026-06-06T11:27:31.000Z,84
2026-06-06T11:27:32.000Z,86
2026-06-06T11:27:33.000Z,89
2026-06-06T11:27:34.000Z,96
2026-06-06T11:27:35.000Z,101
2026-06-06T11:27:36.000Z,102
2026-06-06T11:27:38.000Z,101
2026-06-06T11:27:39.000Z,102
2026-06-06T11:27:45.000Z,101
2026-06-06T11:27:46.000Z,101
