time,hr
2026-06-06T11:25:39.000Z,87
2026-06-06T11:25:40.000Z,89
2026-06-06T11:25:41.000Z,90
2026-06-06T11:25:43.000Z,88
2026-06-06T11:25:44.000Z,84
2026-06-06T11:25:45.000Z,82
2026-06-06T11:25:46.000Z,81
2026-06-06T11:25:47.000Z,80
2026-06-06T11:25:48.000Z,79
2026-06-06T11:25:50.000Z,78
2026-06-06T11:25:51.000Z,77
2026-06-06T11:25:53.000Z,76
2026-06-06T11:25:54.000Z,77
2026-06-06T11:25:59.000Z,78
2026-06-06T11:26:00.000Z,77
2026-06-06T11:26:04.000Z,78
2026-06-06T11:26:07.000Z,79
2026-06-06T11:26:08.000Z,80
2026-06-06T11:26:10.000Z,81
2026-06-06T11:26:12.000Z,80
2026-06-06T11:26:13.000Z,79
2026-06-06T11:26:14.000Z,74
2026-06-06T11:26:15.000Z,74
