time,hr
2026-06-06T12:06:41.000Z,84
2026-06-06T12:06:42.000Z,83
2026-06-06T12:06:48.000Z,81
2026-06-06T12:06:50.000Z,77
2026-06-06T12:06:52.000Z,76
2026-06-06T12:06:57.000Z,77
2026-06-06T12:06:58.000Z,78
2026-06-06T12:06:59.000Z,79
2026-06-06T12:07:02.000Z,80
2026-06-06T12:07:09.000Z,81
2026-06-06T12:07:11.000Z,83
2026-06-06T12:07:12.000Z,86
2026-06-06T12:07:13.000Z,90
2026-06-06T12:07:14.000Z,92
2026-06-06T12:07:15.000Z,93
2026-06-06T12:07:16.000Z,94
2026-06-06T12:07:17.000Z,95
2026-06-06T12:07:18.000Z,95
