time,hr
2026-06-06T12:04:52.000Z,90
2026-06-06T12:04:53.000Z,95
2026-06-06T12:04:54.000Z,95
2026-06-06T12:04:55.000Z,94
2026-06-06T12:04:56.000Z,93
2026-06-06T12:04:57.000Z,92
2026-06-06T12:04:58.000Z,90
2026-06-06T12:04:59.000Z,87
2026-06-06T12:05:00.000Z,85
2026-06-06T12:05:03.000Z,86
2026-06-06T12:05:07.000Z,87
2026-06-06T12:05:08.000Z,88
2026-06-06T12:05:09.000Z,91
2026-06-06T12:05:10.000Z,93
2026-06-06T12:05:18.000Z,94
2026-06-06T12:05:21.000Z,93
2026-06-06T12:05:25.000Z,94
2026-06-06T12:05:27.000Z,93
2026-06-06T12:05:28.000Z,94
