set_id,subject,exercise,set_nr,focus,correct_rate
0,0,0,1,1,1.0
17,1,1,2,0,1.0
15,1,0,4,0,1.0
8,0,2,1,1,1.0
9,0,2,2,0,1.0
19,1,1,4,0,0.9814814814814815
11,0,2,4,0,0.9675925925925926
7,0,1,4,0,0.9490740740740741
18,1,1,3,1,0.8703703703703703
5,0,1,2,0,0.7916666666666666
12,1,0,1,1,0.7453703703703703
2,0,0,3,1,0.7361111111111112
13,1,0,2,0,0.7314814814814815
3,0,0,4,0,0.6712962962962963
20,1,2,1,1,0.625
1,0,0,2,0,0.44907407407407407
21,1,2,2,0,0.32407407407407407
23,1,2,4,0,0.28703703703703703
14,1,0,3,1,0.16666666666666666
10,0,2,3,1,0.1388888888888889
16,1,1,1,1,0.1388888888888889
4,0,1,1,1,0.06944444444444445
6,0,1,3,1,0.0
22,1,2,3,1,0.0
