set_id,subject,exercise,set_nr,focus,correct_rate
1,0.0,0.0,2.0,0.0,1.0
2,0.0,0.0,3.0,1.0,1.0
19,1.0,1.0,4.0,0.0,1.0
18,1.0,1.0,3.0,1.0,1.0
6,0.0,1.0,3.0,1.0,0.9953703703703703
5,0.0,1.0,2.0,0.0,0.9907407407407407
3,0.0,0.0,4.0,0.0,0.9861111111111112
7,0.0,1.0,4.0,0.0,0.9814814814814815
13,1.0,0.0,2.0,0.0,0.9722222222222222
11,0.0,2.0,4.0,0.0,0.9583333333333334
0,0.0,0.0,1.0,1.0,0.9444444444444444
9,0.0,2.0,2.0,0.0,0.9305555555555556
23,1.0,2.0,4.0,0.0,0.9120370370370371
12,1.0,0.0,1.0,1.0,0.8611111111111112
15,1.0,0.0,4.0,0.0,0.8101851851851852
8,0.0,2.0,1.0,1.0,0.75
16,1.0,1.0,1.0,1.0,0.6944444444444444
10,0.0,2.0,3.0,1.0,0.38425925925925924
14,1.0,0.0,3.0,1.0,0.37962962962962965
21,1.0,2.0,2.0,0.0,0.35185185185185186
22,1.0,2.0,3.0,1.0,0.2037037037037037
4,0.0,1.0,1.0,1.0,0.18055555555555555
17,1.0,1.0,2.0,0.0,0.16203703703703703
20,1.0,2.0,1.0,1.0,0.14814814814814814
