set_id,subject,exercise,set_nr,focus,count,hit_rate,mean_prob
13,1,0,2,0,7,0.0,0.8294735
14,1,0,3,1,5,0.0,0.09846995
4,0,1,1,1,12,0.08333333333333333,0.2566864
22,1,2,3,1,9,0.2222222222222222,0.2041644
1,0,0,2,0,11,0.2727272727272727,0.5256557
21,1,2,2,0,10,0.3,0.5324636
5,0,1,2,0,7,0.42857142857142855,0.5210007
20,1,2,1,1,12,0.6666666666666666,0.56842047
10,0,2,3,1,5,0.8,0.7013525
9,0,2,2,0,8,0.875,0.15112074
2,0,0,3,1,11,0.9090909090909091,0.8361234
0,0,0,1,1,8,1.0,0.99835485
19,1,1,4,0,11,1.0,0.01902948
18,1,1,3,1,9,1.0,0.9199686
17,1,1,2,0,6,1.0,0.07810233
16,1,1,1,1,4,1.0,0.9459555
11,0,2,4,0,8,1.0,0.009164659
12,1,0,1,1,11,1.0,0.92226577
8,0,2,1,1,7,1.0,0.981643
7,0,1,4,0,9,1.0,0.0025274602
6,0,1,3,1,7,1.0,0.7452146
3,0,0,4,0,7,1.0,0.032357432
15,1,0,4,0,10,1.0,0.0015414634
23,1,2,4,0,6,1.0,0.09207065
