feature,importance_mean,importance_std
acc_lin_magnitude,0.12699999999999995,0.23026289323293056
acc_lin_abs_sum,0.10399999999999998,0.17602272580550501
roll_lowpass,0.06800000000000002,0.14098226838861688
acc_lin_pairwise_product_sum,0.06199999999999999,0.16203703280423268
gyro_pairwise_product_sum,0.043,0.1673349933516597
gyro_y_lowpass,0.03,0.0953939201416946
yaw_lowpass,0.023000000000000003,0.08013114251026252
gyro_x_lowpass,0.018,0.068381283989115
gyro_magnitude,0.011,0.09710303805751909
pitch_lowpass,0.007000000000000002,0.06165225056719338
hr,0.0020000000000000005,0.01989974874213241
gyro_z_lowpass,0.0009999999999999992,0.06441273166075168
acc_lin_z_lowpass,-0.003,0.0723947511909531
acc_lin_y_lowpass,-0.005,0.04387482193696059
gyro_abs_sum,-0.009000000000000001,0.059741108124975364
acc_lin_x_lowpass,-0.01,0.06480740698407861
