set_id,subject,exercise,set_nr,focus,count,hit_rate,mean_prob
14,1,0,3,1,5,0.0,0.06528573
13,1,0,2,0,7,0.0,0.928142
22,1,2,3,1,9,0.2222222222222222,0.28029492
4,0,1,1,1,12,0.3333333333333333,0.38117918
5,0,1,2,0,7,0.8571428571428571,0.3165479
18,1,1,3,1,9,0.8888888888888888,0.90716225
21,1,2,2,0,10,0.9,0.33226028
0,0,0,1,1,8,1.0,0.9984922
20,1,2,1,1,12,1.0,0.88647014
19,1,1,4,0,11,1.0,0.1577494
17,1,1,2,0,6,1.0,0.014287252
16,1,1,1,1,4,1.0,0.9679569
15,1,0,4,0,10,1.0,0.0016477595
11,0,2,4,0,8,1.0,0.017293891
10,0,2,3,1,5,1.0,0.7106574
9,0,2,2,0,8,1.0,0.09656301
8,0,2,1,1,7,1.0,0.96273506
7,0,1,4,0,9,1.0,0.0021939212
6,0,1,3,1,7,1.0,0.99179405
3,0,0,4,0,7,1.0,0.016169654
2,0,0,3,1,11,1.0,0.8343986
1,0,0,2,0,11,1.0,0.099103026
12,1,0,1,1,11,1.0,0.92836016
23,1,2,4,0,6,1.0,0.06765934
