set_id,subject,exercise,set_nr,focus,count,hit_rate,mean_prob
14,1,0,3,1,5,0.0,0.013457537
22,1,2,3,1,9,0.1111111111111111,0.24026807
13,1,0,2,0,7,0.14285714285714285,0.79929864
4,0,1,1,1,12,0.25,0.32807353
1,0,0,2,0,11,0.2727272727272727,0.59563076
5,0,1,2,0,7,0.2857142857142857,0.5121725
21,1,2,2,0,10,0.6,0.41016787
10,0,2,3,1,5,0.6,0.67405707
2,0,0,3,1,11,0.7272727272727273,0.6327908
18,1,1,3,1,9,0.8888888888888888,0.91293824
20,1,2,1,1,12,0.9166666666666666,0.8358912
0,0,0,1,1,8,1.0,0.9933729
19,1,1,4,0,11,1.0,0.07044967
17,1,1,2,0,6,1.0,0.08886411
16,1,1,1,1,4,1.0,0.9763496
11,0,2,4,0,8,1.0,0.003779049
12,1,0,1,1,11,1.0,0.93802106
9,0,2,2,0,8,1.0,0.19044659
8,0,2,1,1,7,1.0,0.98154736
7,0,1,4,0,9,1.0,0.004628601
6,0,1,3,1,7,1.0,0.97831357
3,0,0,4,0,7,1.0,0.010924259
15,1,0,4,0,10,1.0,0.0009014023
23,1,2,4,0,6,1.0,0.067396216
