repeat,accuracy,balanced_accuracy,precision,recall,f1,n_train,n_test
0,1.0,1.0,1.0,1.0,1.0,20,4
1,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
2,0.5,0.5,0.0,0.0,0.0,20,4
3,1.0,1.0,1.0,1.0,1.0,20,4
4,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
5,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
6,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
7,1.0,1.0,1.0,1.0,1.0,20,4
8,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
9,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
10,1.0,1.0,1.0,1.0,1.0,20,4
11,1.0,1.0,1.0,1.0,1.0,20,4
12,1.0,1.0,1.0,1.0,1.0,20,4
13,1.0,1.0,1.0,1.0,1.0,20,4
14,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
15,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
16,0.5,0.5,0.0,0.0,0.0,20,4
17,1.0,1.0,1.0,1.0,1.0,20,4
18,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
19,0.5,0.5,0.0,0.0,0.0,20,4
20,0.5,0.5,0.0,0.0,0.0,20,4
21,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
22,1.0,1.0,1.0,1.0,1.0,20,4
23,1.0,1.0,1.0,1.0,1.0,20,4
24,1.0,1.0,1.0,1.0,1.0,20,4
25,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
26,1.0,1.0,1.0,1.0,1.0,20,4
27,1.0,1.0,1.0,1.0,1.0,20,4
28,1.0,1.0,1.0,1.0,1.0,20,4
29,1.0,1.0,1.0,1.0,1.0,20,4
30,0.5,0.5,0.5,0.5,0.5,20,4
31,0.75,0.75,1.0,0.5,0.6666666666666666,20,4
32,0.75,0.75,0.6666666666666666,1.0,0.8,20,4
33,1.0,1.0,1.0,1.0,1.0,20,4
34,1.0,1.0,1.0,1.0,1.0,20,4
